Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
34.7575,34.7674,20.0573,402.2955,0.005491,69.556,69.5505,34.7026,1.8008,-0.000766,17.3668,40.1288,880,11167556.85,0,0.038645,0.63637,31.4542,277.7013,Stand
35.2589,35.2606,20.3387,413.6633,-0.1226,70.6155,70.7381,35.1993,1.8002,1.8e-05,17.6142,40.7038,1093,11650598.28,0.000284,0.0387,0.64102,31.4772,277.8979,Stand
31.5035,31.5124,18.1895,330.8594,-0.03013,63.0165,63.0466,31.5212,1.7999,-0.000021,15.7514,36.3769,1549,8441191.847,0.000157,0.037814,0.60138,25.1311,221.8724,Stand
34.0079,34.054,19.6587,386.4664,-0.066765,68.0926,68.1594,33.9319,1.8009,-0.003397,17.0191,39.2803,1342,10482760.67,0.00103,0.038566,0.62916,30.2436,267.0139,Stand
35.0221,34.9898,17.3221,300.0558,4.93762,65.0956,60.158,29.9485,1.8007,0.000381,15.0018,39.0711,876,9156272.592,0,0.03981,0.67633,29.0702,256.6525,Stand
39.063,39.0578,17.8995,320.3907,8.03925,70.1271,62.0879,31.0076,1.7995,0.000285,15.5004,42.9681,1099,11444952.65,0,0.040814,0.73648,35.844,316.4609,Stand
33.7698,33.7501,18.3327,336.0881,1.86175,65.5627,63.7009,31.7712,1.8015,-0.000228,15.8754,38.4244,1034,9366502.895,0,0.038968,0.64107,28.4058,250.7848,Stand
34.4632,34.5284,18.7254,350.6417,2.00514,66.8826,64.8775,32.4786,1.799,-0.000168,16.2191,39.2211,1136,9971250.799,0,0.038993,0.64733,29.5258,260.6759,Stand
32.8221,32.8026,17.7619,315.4848,2.07476,63.7683,61.6936,30.7942,1.8001,-0.000499,15.3799,37.3192,1273,8562468.375,0,0.038883,0.63265,27.3467,241.4367,Stand
31.11,31.128,17.964,322.7052,0.009446,62.2147,62.2052,31.1402,1.8,-0.000447,15.5565,35.9234,1531,7945529.959,0,0.038564,0.60445,25.2393,222.8287,Stand
34.1695,34.1617,17.9914,323.6901,2.86954,65.5503,62.6807,31.3094,1.8007,-0.001456,15.5804,38.6159,1092,9291614.454,0,0.03923,0.65209,28.57,252.2363,Stand
30.033,30.0253,17.3263,300.2013,-0.05177,60.0349,60.0867,30.007,1.8,-0.000336,15.004,34.6718,1020,7211602.332,0.000333,0.03811,0.59106,22.7355,200.7227,Stand
30.8835,30.8499,17.8123,317.2777,0.047309,61.7568,61.7095,30.8652,1.8004,-0.000213,15.4223,35.6513,1050,7842176.276,0,0.03818,0.59927,24.7537,218.5417,Stand
29.7056,29.6999,17.1417,293.8366,-0.052461,59.4246,59.4771,29.722,1.7999,9e-06,14.8438,34.2959,1415,7071380.606,0.000333,0.037626,0.58396,22.1496,195.549,Stand
30.0001,30.014,17.3224,300.0654,-0.037186,60.0272,60.0644,30.0133,1.8001,-0.000072,15.0002,34.6414,1548,7290149.395,0.000165,0.037665,0.58679,23.1089,204.0175,Stand
32.8033,32.7687,18.9169,357.8498,-0.011387,65.5685,65.5799,32.6848,1.8007,-0.000163,16.3779,37.8663,1331,9384578.471,0.000306,0.038399,0.61812,28.0323,247.4887,Stand
31.9323,31.9466,18.431,339.7031,-0.085453,63.7961,63.8816,31.8994,1.801,-0.000963,15.9586,36.869,1617,8581402.043,0.000475,0.038686,0.6127,26.3576,232.705,Stand
30.9184,30.9391,17.8541,318.769,-0.186969,61.9128,62.0997,30.9362,1.7998,-0.00006,15.462,35.7025,1296,7980677.735,0.000479,0.037809,0.59573,24.1078,212.837,Stand
39.9693,40.0045,17.3075,299.5499,9.6995,70.0075,60.308,29.951,1.8003,-0.00002,14.9876,43.5551,1356,11253288.32,0,0.041888,0.76639,36.9556,326.2686,Stand
35.0023,35.0063,17.3214,300.0302,5.00182,64.9926,59.9908,29.9664,1.7999,4.6e-05,14.9995,39.0531,1545,9265239.296,0,0.039301,0.67175,29.5026,260.4722,Stand
31.8918,31.9219,18.4193,339.27,-0.111333,63.837,63.9483,31.9055,1.7999,-0.000203,15.9505,36.8281,1132,8559646.054,0.000475,0.038692,0.61207,26.3159,232.3341,Stand
34.98,35.0199,17.3191,299.9526,4.93419,65.063,60.1288,30.0106,1.8009,0.00058,14.9958,39.032,1447,9041966.285,0,0.040163,0.67921,29.5574,260.9601,Stand
33.9999,33.9842,17.9,320.4088,2.98138,65.0106,62.0292,30.9617,1.8001,-0.000062,15.5001,38.4233,1330,9267034.368,0,0.03872,0.64648,28.9988,256.022,Stand
33.8572,33.8563,19.5492,382.1724,0.00037,67.7131,67.7127,33.8286,1.8,0.000246,16.9286,39.0951,1588,10238911.38,0,0.038853,0.63073,29.6576,261.8415,Stand
31.709,31.6946,18.3063,335.1219,-0.035545,63.4296,63.4652,31.7185,1.8,-0.000104,15.8519,36.6133,1543,8604864.682,0.000156,0.037853,0.60341,26.1837,231.1691,Stand
32.2025,32.1574,18.5988,345.9171,0.018542,64.636,64.6174,32.1201,1.8004,0.000483,16.105,37.1869,1441,8812999.601,0,0.038728,0.61503,26.3104,232.2855,Stand
30.8939,30.8807,17.8387,318.2185,0.123118,61.7922,61.6691,30.9132,1.799,0.001245,15.4488,35.6735,1502,7783213.428,0,0.038497,0.6022,24.1781,213.4574,Stand
30.7209,30.7033,17.7453,314.8946,0.043055,61.5129,61.4698,30.7861,1.8,0.000311,15.3662,35.477,1390,7653655.78,0,0.038528,0.60062,24.1885,213.5475,Stand
28.0148,27.9942,16.1647,261.2986,-0.003581,56.0342,56.0378,28.0391,1.7999,0.000122,13.9973,32.3431,1380,5930222.567,0.000353,0.037457,0.56712,20.2602,178.8645,Stand
31.9819,32.0013,17.3226,300.0741,2.00679,62.0041,59.9973,29.9525,1.8001,-0.000341,15.0013,36.3712,1352,7852515.343,0,0.039124,0.6274,25.5991,226.0008,Stand
30.9144,30.8985,17.8382,318.2,-0.01393,61.827,61.841,30.9048,1.8001,-0.000026,15.4471,35.691,1462,7969192.229,0.000639,0.037757,0.59579,24.1317,213.0501,Stand
31.5651,31.5521,18.2145,331.7696,-0.106109,63.1024,63.2085,31.5252,1.7999,-0.000048,15.7735,36.4427,1153,8370833.564,0.000635,0.038286,0.60611,25.8342,228.081,Stand
30.2062,30.2402,17.4457,304.3523,-0.055051,60.4215,60.4765,30.1852,1.7996,-0.000716,15.1074,34.8815,1244,7273531.493,0.000669,0.03846,0.59555,23.1747,204.5988,Stand
31.004,31.0123,17.8939,320.1926,-0.412933,62.613,63.026,30.9594,1.8014,-0.001278,15.4927,35.7965,1357,7858769.649,0.000652,0.038314,0.60354,24.2127,213.7595,Stand
35.0206,34.9919,17.3219,300.0478,5.04352,65.0787,60.0352,29.9409,1.7999,-0.000074,15.0012,39.0697,1127,9273110.259,0,0.03929,0.67207,29.5296,260.7052,Stand
30.6691,30.6481,17.7144,313.7985,-0.014775,61.3885,61.4033,30.6879,1.8001,-0.000301,15.3398,35.4166,1411,7613836.893,0.000329,0.038533,0.6001,24.1948,213.605,Stand
37.9985,37.9598,17.3204,299.9947,8.01692,68.0036,59.9866,29.9896,1.8001,-0.000006,14.9985,41.7592,1417,10592041.76,0,0.040285,0.72332,33.816,298.5591,Stand
31.9972,31.9955,17.324,300.1199,1.90443,62.0477,60.1433,30.0231,1.8002,-0.000187,15.0013,36.3853,1330,8042621.538,0,0.038339,0.62052,25.5435,225.516,Stand
32.3107,32.3066,17.8332,318.0221,1.27239,63.1838,61.9114,30.8672,1.8003,-0.000488,15.4425,36.9046,968,8410055.441,0,0.038671,0.62305,26.5087,234.0374,Stand
31.1477,31.1323,17.9704,322.9353,-0.216309,62.268,62.4843,31.1629,1.7999,3.9e-05,15.5612,35.9592,1468,8150187.275,0.000317,0.037766,0.59808,25.1539,222.073,Stand
34.9843,34.9746,17.3172,299.8857,4.93712,65.0127,60.0756,30.0344,1.7999,0.000594,14.9966,39.0351,1485,9046422.903,0,0.040139,0.67917,29.5467,260.8593,Stand
25.0053,24.9995,14.4365,208.4131,0.028228,50.3614,50.3332,24.9662,1.801,0.0003,12.5005,28.8728,1145,4220710.997,0,0.037031,0.53557,15.8776,140.1713,Stand
30.8461,30.8357,17.8097,317.1851,-0.01319,61.681,61.6942,30.8713,1.7998,7.3e-05,15.4226,35.6177,1470,7925052.817,0.00032,0.037736,0.595,24.1014,212.7834,Stand
30.7474,30.7599,17.7627,315.515,-0.178698,61.5562,61.7349,30.6914,1.8004,-0.000179,15.3811,35.5087,1204,7855193.44,0.000321,0.037725,0.5939,24.0847,212.6336,Stand
30.5086,30.4973,17.6045,309.9193,-0.020255,61.016,61.0363,30.5145,1.8003,-0.000166,15.2445,35.2228,1462,7660984.257,0.000486,0.037719,0.59184,24.1231,212.9753,Stand
31.5016,31.4919,18.196,331.0962,-0.013073,62.9877,63.0008,31.4549,1.7997,0.000586,15.7565,36.3785,1561,8248704.681,0.000321,0.038619,0.60836,25.2574,222.9836,Stand
40.8633,40.859,17.8304,317.9233,9.81629,71.7307,61.9144,30.8256,1.8012,0.00038,15.4357,44.5834,1211,12263970.55,0,0.041477,0.76881,38.9243,343.6544,Stand
30.8833,30.9156,17.8306,317.9319,0.086613,61.7008,61.6142,30.8628,1.8007,0.000134,15.4379,35.6603,1317,7771108.314,0,0.038497,0.60228,24.1992,213.6479,Stand
30.5567,30.5721,17.6374,311.0789,-0.087623,61.1184,61.206,30.531,1.8,0.000151,15.2736,35.2809,1399,7699976.21,0.000323,0.037685,0.59223,24.1183,212.9248,Stand
32.8964,32.9815,18.0971,327.5052,1.16242,65.6262,64.4638,31.3494,1.7966,-0.004806,15.6782,37.545,1180,8848232.825,0,0.038444,0.62893,27.6716,244.326,Stand
29.9945,30.0179,17.3023,299.3681,-0.024006,59.8924,59.9164,29.9746,1.799,1e-05,14.9839,34.6264,1488,7277868.773,0.000329,0.037593,0.5868,23.13,204.2055,Stand
30.7638,30.7591,17.7878,316.4062,-0.26244,61.5489,61.8113,30.7837,1.7995,0.000196,15.4038,35.5354,1051,7776119.233,0.000487,0.038187,0.59774,24.6888,217.9665,Stand
