Mean1,Median1,STD1,Variance1,Min1,Max1,Range1,IQR1,Kurtosis1,Skewness1,MAD1,RMS1,NumPeaks1,Energy1,ZCR1,FFT_Mean1,FFT_Std1,PSD_Mean1,PSD_Std1,Mean2,Median2,STD2,Variance2,Min2,Max2,Range2,IQR2,Kurtosis2,Skewness2,MAD2,RMS2,NumPeaks2,Energy2,ZCR2,FFT_Mean2,FFT_Std2,PSD_Mean2,PSD_Std2,Mean3,Median3,STD3,Variance3,Min3,Max3,Range3,IQR3,Kurtosis3,Skewness3,MAD3,RMS3,NumPeaks3,Energy3,ZCR3,FFT_Mean3,FFT_Std3,PSD_Mean3,PSD_Std3,Mean4,Median4,STD4,Variance4,Min4,Max4,Range4,IQR4,Kurtosis4,Skewness4,MAD4,RMS4,NumPeaks4,Energy4,ZCR4,FFT_Mean4,FFT_Std4,PSD_Mean4,PSD_Std4,Mean5,Median5,STD5,Variance5,Min5,Max5,Range5,IQR5,Kurtosis5,Skewness5,MAD5,RMS5,NumPeaks5,Energy5,ZCR5,FFT_Mean5,FFT_Std5,PSD_Mean5,PSD_Std5,Mean6,Median6,STD6,Variance6,Min6,Max6,Range6,IQR6,Kurtosis6,Skewness6,MAD6,RMS6,NumPeaks6,Energy6,ZCR6,FFT_Mean6,FFT_Std6,PSD_Mean6,PSD_Std6,Mean7,Median7,STD7,Variance7,Min7,Max7,Range7,IQR7,Kurtosis7,Skewness7,MAD7,RMS7,NumPeaks7,Energy7,ZCR7,FFT_Mean7,FFT_Std7,PSD_Mean7,PSD_Std7,Class
0.020699,0.019488,0.043224,0.001868,-0.19008,0.25561,0.44569,0.057356,3.824663,0.105373,0.033959,0.047922,982,15.926054,0.159841,0.000251,0.000575,0.000046,0.000182,0.00462,0.004571,0.037427,0.001401,-0.21603,0.1854,0.40143,0.047099,4.2629,-0.044047,0.028845,0.037708,1197,9.860943,0.16359,0.000247,0.000383,0.000028,0.000072,0.023151,0.023132,0.044638,0.001993,-0.18049,0.2034,0.38389,0.058204,3.459839,-0.049377,0.035174,0.050282,1093,17.533305,0.155083,0.000296,0.000595,0.000051,0.000174,34.714272,34.723,20.043259,401.732227,0.005,69.433,69.428,34.7075,1.800548,0.000167,17.356164,40.084348,0,11142845.69,0.000072,0.038594,0.635629,31.384206,277.083614,-0.003209,-0.002486,0.01522,0.000232,-0.063573,0.063713,0.127286,0.020768,3.730491,-0.038078,0.012044,0.015554,1353,1.677746,0.045494,0.000059,0.000181,0.000005,0.000024,-0.00218,-0.002327,0.010874,0.000118,-0.055338,0.060732,0.11607,0.014667,3.729905,0.040836,0.008585,0.011089,902,0.852813,0.145278,0.000064,0.000119,0.000002,0.000008,0.000103,0.000702,0.00604,0.000036,-0.0308,0.026011,0.056811,0.00733,4.139032,-0.456726,0.004637,0.006041,1318,0.253072,0.109805,0.000034,0.000064,0.000001,0.000003,Stand
0.026639,0.027553,0.06483,0.004203,-0.54124,0.9784,1.51964,0.049629,33.016916,1.032448,0.039056,0.070086,1098,34.541501,0.138723,0.000445,0.000775,0.0001,0.000206,0.006678,0.004181,0.078619,0.006181,-0.54752,0.70954,1.25706,0.049406,19.467991,0.715167,0.044639,0.078897,1227,43.772039,0.14754,0.00047,0.000819,0.000127,0.0003,0.022002,0.025308,0.063619,0.004047,-0.55457,0.39917,0.95374,0.062598,11.683882,-0.748187,0.043731,0.067312,1240,31.861052,0.15721,0.000483,0.000693,0.000092,0.00017,35.213809,35.206,20.329378,413.283618,0.001,70.412,70.411,35.2075,1.79968,-0.000052,17.606463,40.660019,2,11625563.79,0.000071,0.038642,0.640271,31.40835,277.296701,-0.007594,-0.004581,0.033235,0.001105,-0.2135,0.17746,0.39096,0.015271,13.015036,-0.61827,0.018342,0.034089,1187,8.171526,0.06506,0.000117,0.0004,0.000023,0.000124,-0.002682,-0.003183,0.018786,0.000353,-0.22309,0.16603,0.38912,0.016494,25.322657,-0.482142,0.011711,0.018975,1119,2.531802,0.144411,0.000122,0.000193,0.000007,0.000021,0.000087,-0.000226,0.021441,0.00046,-0.18471,0.12072,0.30543,0.006719,23.943476,-1.505233,0.009328,0.02144,1509,3.232459,0.118956,0.00007,0.000246,0.00001,0.000059,Stand
-0.000062,-0.000131,0.023488,0.000552,-0.090933,0.11734,0.208273,0.030975,3.376427,0.014056,0.018499,0.023487,1465,3.518793,0.267362,0.000216,0.000199,0.000011,0.000015,0.000384,0.000014,0.019696,0.000388,-0.080496,0.098533,0.179029,0.025578,3.450836,-0.018745,0.015459,0.019698,1635,2.475213,0.278178,0.000186,0.000162,0.000008,0.000009,0.000664,0.000251,0.025083,0.000629,-0.092072,0.10399,0.196062,0.033553,3.160947,0.02639,0.019875,0.02509,1738,4.015505,0.263129,0.000235,0.000209,0.000012,0.000018,31.502505,31.503,18.189516,330.858507,0.004,63,62.996,31.502,1.79999,0.000002,15.751362,36.376015,21,8440785.027,0.000078,0.037809,0.60136,25.129497,221.859677,0.000084,-0.000366,0.004285,0.000018,-0.016342,0.018799,0.035141,0.005325,3.70868,0.027573,0.003342,0.004285,972,0.117134,0.116241,0.000028,0.000046,0,0.000001,-0.000161,0.000259,0.009652,0.000093,-0.037018,0.035416,0.072434,0.012787,3.061242,-0.252397,0.007745,0.009653,931,0.594404,0.08865,0.000048,0.000111,0.000002,0.000011,0.000088,-0.000305,0.00267,0.000007,-0.010956,0.009277,0.020233,0.003204,3.445245,0.064529,0.002081,0.002671,1162,0.045514,0.157,0.000018,0.000028,0,0.000001,Stand
0.028248,0.027382,0.023413,0.000548,-0.10013,0.12411,0.22424,0.027889,4.096037,-0.101212,0.017868,0.036688,1390,9.14497,0.092214,0.0002,0.000525,0.000027,0.000141,-0.00369,-0.004162,0.022773,0.000519,-0.092521,0.094034,0.186555,0.028931,3.416972,0.167412,0.017836,0.023069,1425,3.615545,0.208934,0.000185,0.000215,0.000011,0.000016,0.021786,0.047148,0.068076,0.004634,-0.21915,0.16661,0.38576,0.07785,2.700528,-0.937219,0.055566,0.071472,1502,34.705872,0.028481,0.000261,0.000868,0.0001,0.00077,33.966201,33.966,19.61402,384.709786,0.001,67.93,67.929,33.969,1.800008,-0.000003,16.984973,39.221881,0,10451590.57,0.000074,0.038475,0.628299,30.154614,266.227335,-0.00173,-0.000031,0.007991,0.000064,-0.033885,0.018601,0.052486,0.010385,3.13233,-0.683933,0.006402,0.008175,1408,0.45407,0.104136,0.00004,0.000093,0.000001,0.000007,-0.002685,-0.002883,0.014046,0.000197,-0.066468,0.054165,0.120633,0.020214,3.348359,0.147834,0.011285,0.0143,1566,1.389265,0.067928,0.000053,0.000168,0.000004,0.000026,-0.000273,-0.000403,0.003161,0.00001,-0.013024,0.010299,0.023323,0.003891,3.160204,0.176466,0.002499,0.003173,1671,0.068381,0.176258,0.000021,0.000032,0,0.000001,Stand
0.026093,0.027203,0.036505,0.001333,-0.18807,0.26558,0.45365,0.045848,5.543284,-0.230886,0.027737,0.044869,1019,12.075568,0.132794,0.000295,0.000602,0.000041,0.000129,0.000526,0.00159,0.057213,0.003273,-0.68755,0.40094,1.08849,0.059332,21.226378,-1.30804,0.039659,0.057211,970,19.632064,0.139963,0.000373,0.000638,0.000066,0.000201,0.004446,0.001342,0.057361,0.00329,-0.23519,0.37721,0.6124,0.065976,5.364952,0.545004,0.042893,0.057528,962,19.850345,0.188313,0.000437,0.000604,0.000065,0.000112,34.990547,34.989,17.322402,300.065619,4.994,64.984,59.99,30,1.800124,-0.000049,14.999883,39.042976,1,9143074.915,0.000083,0.039755,0.675786,29.02996,256.297525,0.00029,0.002169,0.038908,0.001514,-0.277,0.17443,0.45143,0.026878,9.738117,-0.444704,0.024136,0.038906,892,9.078824,0.064105,0.000137,0.000483,0.000032,0.000173,-0.000009,0.000128,0.014745,0.000217,-0.075619,0.072821,0.14844,0.018326,4.562521,0.0216,0.011398,0.014744,942,1.303859,0.110453,0.000086,0.00017,0.000004,0.000018,0.000222,0.00069,0.010369,0.000108,-0.059773,0.07645,0.136223,0.009163,12.450643,-0.547024,0.006732,0.010371,1208,0.645114,0.104618,0.000047,0.000125,0.000002,0.000012,Stand
0.03101,0.031931,0.020575,0.000423,-0.081066,0.11876,0.199826,0.0297,3.385696,-0.37141,0.016618,0.037214,1320,8.585012,0.070737,0.000182,0.000588,0.000028,0.000169,0.002888,0.003889,0.022647,0.000513,-0.094589,0.10017,0.194759,0.028358,3.805838,-0.128299,0.017509,0.022828,1405,3.23048,0.160268,0.000169,0.000238,0.00001,0.000025,0.001952,0.001516,0.032676,0.001068,-0.11067,0.13342,0.24409,0.043703,3.17932,0.055418,0.025936,0.032731,1305,6.641158,0.134941,0.000211,0.000359,0.000021,0.000089,39.0276,39.022,17.90114,320.450811,8.033,70.033,62,31.00575,1.799823,0.000129,15.502368,42.936612,0,11428182.95,0.000081,0.040789,0.735886,35.790671,315.989667,0.000326,0.00036,0.009634,0.000093,-0.052492,0.032993,0.085485,0.011814,4.390749,-0.117446,0.007356,0.009639,1408,0.575914,0.083643,0.000046,0.000114,0.000002,0.000008,-0.000857,-0.000544,0.010863,0.000118,-0.04598,0.034141,0.080121,0.014661,3.037198,-0.082062,0.008683,0.010896,1208,0.735968,0.084772,0.000055,0.000127,0.000002,0.000014,0.000093,0.000018,0.004009,0.000016,-0.014991,0.017862,0.032853,0.00487,3.613336,0.158531,0.003089,0.00401,1511,0.099659,0.146233,0.000025,0.000044,0,0.000001,Stand
0.01802,0.017297,0.031864,0.001015,-0.2027,0.19178,0.39448,0.039443,4.676799,0.047107,0.024529,0.036604,1121,8.500001,0.145728,0.000233,0.000456,0.000027,0.000072,-0.000963,-0.000609,0.019864,0.000395,-0.090396,0.070284,0.16068,0.024862,3.672947,-0.12627,0.01541,0.019886,1479,2.508727,0.189234,0.000157,0.000194,0.000008,0.000014,0.013499,0.012886,0.038561,0.001487,-0.12643,0.18095,0.30738,0.051611,3.100242,0.069404,0.030645,0.040852,1201,10.587553,0.128074,0.000246,0.000481,0.000033,0.000152,33.741582,33.737,18.33136,336.038749,2.003,65.491,63.488,31.7515,1.80054,0.000538,15.872435,38.39896,0,9354102.099,0.000079,0.038921,0.640598,28.367137,250.445227,0.000069,0.000538,0.010077,0.000102,-0.10377,0.029395,0.133165,0.011087,21.688824,-2.228989,0.007125,0.010077,1273,0.644175,0.083622,0.000052,0.000115,0.000001,0.000006,-0.002233,-0.00256,0.011835,0.00014,-0.041044,0.042956,0.084,0.015483,3.139592,0.080008,0.009362,0.012043,1135,0.920134,0.081731,0.000061,0.000141,0.000003,0.000014,-0.000168,0.000037,0.003832,0.000015,-0.019187,0.024936,0.044123,0.00438,5.871853,-0.347598,0.002829,0.003835,1413,0.09331,0.181037,0.000028,0.000039,0,0.000001,Stand
0.024016,0.024536,0.067955,0.004618,-0.78386,0.57308,1.35694,0.068034,14.237378,-0.36495,0.046303,0.072069,950,33.667166,0.170703,0.000505,0.000797,0.000105,0.000186,0.00038,0.000175,0.089063,0.007932,-1.94,0.86417,2.80417,0.054662,107.733894,-3.330163,0.045519,0.089057,1170,51.409896,0.187365,0.000625,0.000912,0.000154,0.000331,0.006906,0.006574,0.079598,0.006336,-0.84059,1.1,1.94059,0.067474,23.141349,0.239683,0.050266,0.079891,1196,41.372012,0.210197,0.000642,0.000761,0.000134,0.000207,34.431215,34.437,18.725906,350.659547,2.001,66.854,64.853,32.441,1.79951,-0.000001,16.21697,39.19329,0,9957091.008,0.000077,0.038967,0.646804,29.483903,260.305517,0.001064,-0.000018,0.025346,0.000642,-0.20893,0.2089,0.41783,0.015272,18.73177,0.617873,0.014337,0.025366,1095,4.170803,0.104983,0.000129,0.000288,0.000012,0.000041,-0.000209,-0.000092,0.018877,0.000356,-0.22794,0.12147,0.34941,0.015272,17.657855,-1.344561,0.011795,0.018877,1034,2.309765,0.139695,0.000123,0.000199,0.000007,0.000018,-0.00019,-0.00036,0.010183,0.000104,-0.10787,0.19817,0.30604,0.006719,93.502533,3.375337,0.005382,0.010184,1141,0.672276,0.171166,0.000068,0.000107,0.000002,0.000004,Stand
0.025685,0.025884,0.02078,0.000432,-0.16126,0.14646,0.30772,0.023917,9.46539,-0.324074,0.015206,0.033037,1285,6.71036,0.087264,0.000193,0.000497,0.000022,0.000116,0.000319,-0.000099,0.02254,0.000508,-0.082271,0.10295,0.185221,0.029978,3.233292,0.110992,0.017842,0.02254,1263,3.123546,0.195917,0.000186,0.000219,0.00001,0.000017,0.007114,0.007454,0.032642,0.001066,-0.15734,0.15079,0.30813,0.040947,3.883231,-0.186481,0.025181,0.033406,1362,6.860761,0.191363,0.000251,0.000356,0.000022,0.000081,32.789512,32.796,17.764185,315.566274,2.001,63.552,61.551,30.7485,1.801043,-0.000811,15.381467,37.291648,0,8549820.866,0.000081,0.038859,0.632112,27.305975,241.076061,0.000011,-0.00011,0.005871,0.000034,-0.03102,0.057379,0.088399,0.006848,8.014415,0.499458,0.004374,0.00587,1304,0.211876,0.139639,0.000042,0.000062,0.000001,0.000002,-0.000966,-0.00113,0.011369,0.000129,-0.0859,0.082699,0.168599,0.010693,15.298089,0.828066,0.007471,0.011409,1347,0.800222,0.099463,0.000058,0.000134,0.000003,0.000014,0.000433,0.000336,0.0038,0.000014,-0.018845,0.022413,0.041258,0.004435,5.801142,0.453856,0.00285,0.003824,1399,0.089895,0.164037,0.000026,0.000042,0,0.000001,Stand
-0.000108,0.000186,0.018564,0.000345,-0.080958,0.071754,0.152712,0.025297,2.957807,-0.068166,0.014888,0.018563,1540,2.121639,0.309648,0.000183,0.00015,0.000007,0.000009,-0.000295,0.000026,0.019721,0.000389,-0.091953,0.078626,0.170579,0.02544,3.375445,0.022651,0.015526,0.019721,1564,2.394651,0.282199,0.000191,0.000164,0.000008,0.000009,-0.001912,-0.002193,0.020906,0.000437,-0.085112,0.14653,0.231642,0.027239,4.200045,0.243817,0.01634,0.020992,1686,2.71313,0.314845,0.000212,0.000165,0.000008,0.000008,31.112216,31.111,17.965862,322.772206,0.005,62.222,62.217,31.11625,1.799996,0.000008,15.557636,35.926171,8,7946776.963,0.000081,0.038576,0.604496,25.242988,222.861065,0.000244,0.000406,0.006439,0.000041,-0.049661,0.050474,0.100135,0.006392,13.202466,-0.590139,0.004349,0.006443,844,0.255596,0.099805,0.000035,0.000074,0.000001,0.000002,-0.000032,0.00033,0.007697,0.000059,-0.04532,0.044162,0.089482,0.009587,5.428359,0.034274,0.005773,0.007697,877,0.364734,0.0847,0.000042,0.000089,0.000001,0.000005,-0.000075,-0.000226,0.002578,0.000007,-0.014075,0.015753,0.029828,0.002596,6.12395,0.256039,0.001919,0.002578,1010,0.040935,0.179064,0.00002,0.000026,0,0,Stand
