Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
34.714272,34.723,20.043259,401.732227,0.005,69.433,69.428,34.7075,1.800548,0.000167,17.356164,40.084348,0,11142845.69,0.000072,0.038594,0.635629,31.384206,277.083614,Stand
35.213809,35.206,20.329378,413.283618,0.001,70.412,70.411,35.2075,1.79968,-0.000052,17.606463,40.660019,2,11625563.79,0.000071,0.038642,0.640271,31.40835,277.296701,Stand
31.502505,31.503,18.189516,330.858507,0.004,63,62.996,31.502,1.79999,0.000002,15.751362,36.376015,21,8440785.027,0.000078,0.037809,0.60136,25.129497,221.859677,Stand
33.966201,33.966,19.61402,384.709786,0.001,67.93,67.929,33.969,1.800008,-0.000003,16.984973,39.221881,0,10451590.57,0.000074,0.038475,0.628299,30.154614,266.227335,Stand
34.990547,34.989,17.322402,300.065619,4.994,64.984,59.99,30,1.800124,-0.000049,14.999883,39.042976,1,9143074.915,0.000083,0.039755,0.675786,29.02996,256.297525,Stand
39.0276,39.022,17.90114,320.450811,8.033,70.033,62,31.00575,1.799823,0.000129,15.502368,42.936612,0,11428182.95,0.000081,0.040789,0.735886,35.790671,315.989667,Stand
33.741582,33.737,18.33136,336.038749,2.003,65.491,63.488,31.7515,1.80054,0.000538,15.872435,38.39896,0,9354102.099,0.000079,0.038921,0.640598,28.367137,250.445227,Stand
34.431215,34.437,18.725906,350.659547,2.001,66.854,64.853,32.441,1.79951,-0.000001,16.21697,39.19329,0,9957091.008,0.000077,0.038967,0.646804,29.483903,260.305517,Stand
32.789512,32.796,17.764185,315.566274,2.001,63.552,61.551,30.7485,1.801043,-0.000811,15.381467,37.291648,0,8549820.866,0.000081,0.038859,0.632112,27.305975,241.076061,Stand
31.112216,31.111,17.965862,322.772206,0.005,62.222,62.217,31.11625,1.799996,0.000008,15.557636,35.926171,8,7946776.963,0.000081,0.038576,0.604496,25.242988,222.861065,Stand
34.161836,34.154,17.996978,323.891213,3.003,65.323,62.32,31.175,1.799614,0.000363,15.585134,38.611789,0,9289612.719,0.00008,0.03918,0.651992,28.564512,252.187875,Stand
29.997055,29.998,17.319091,299.950928,0.009,59.987,59.978,29.994,1.799989,-0.000003,14.997544,34.637035,0,7197145.578,0.000083,0.038085,0.590415,22.689399,200.315085,Stand
30.854991,30.855,17.812699,317.292234,0.011,61.7,61.689,30.848,1.799996,-0.000002,15.425025,35.626834,0,7831403.757,0.000081,0.03817,0.598798,24.719726,218.24137,Stand
29.687353,29.6875,17.142452,293.863648,0.001,59.37,59.369,29.692,1.799984,0.000015,14.844626,34.280515,25,7065024.009,0.000083,0.037615,0.583652,22.128531,195.363421,Stand
29.999499,29.997,17.321675,300.040435,0.007,59.995,59.988,30.00275,1.800002,0.000021,14.999783,34.640453,22,7289763.142,0.000082,0.037653,0.586776,23.107349,204.005674,Stand
32.7656,32.755,18.916371,357.829078,0.005,65.525,65.52,32.74375,1.800648,0.000675,16.378908,37.833305,1,9368244.517,0.000076,0.038409,0.617502,27.983814,247.060776,Stand
31.908564,31.908,18.421221,339.34139,0.011,63.831,63.82,31.90475,1.800003,0.000031,15.951987,36.843508,10,8569544.402,0.000079,0.038662,0.612264,26.321515,232.383592,Stand
30.921668,30.92,17.855886,318.832673,0.001,61.839,61.838,30.92325,1.799997,0.000025,15.46243,35.70618,7,7982344.916,0.00008,0.037755,0.595799,24.113213,212.886658,Stand
